Cueanexo,Nombre,id_departamento,Nivel inicial - Jardín maternal,Nivel inicial - Jardín de infantes,Primario,Secundario
20014200,INST. MATER DOLOROSA,2000,1.0,1.0,1.0,1.0
20014300,COLEGIO Nº 19 LUIS PASTEUR DE 17,2000,,,,1.0
20014400,JARDIN CUENTACUENTOS,2000,1.0,1.0,,
20014500,COLEGIO PRESENCIA,2000,,,,1.0
20014600,ESCUELA PARROQUIAL LA PIEDAD,2000,,1.0,1.0,
20014700,CENS Nº 64 DE 20,2000,,,,
20015000,INSTITUTO NUESTRA SEÑORA DE LUJAN,2000,1.0,1.0,1.0,1.0
20015200,ESC.DE EDUC.MEDIA Nº1 FEDERICO GARCIA LORCA DE14,2000,,,,1.0
20015300,DR. LUIS F. LELOIR,2000,,,1.0,
20015400,DR.GENARO SISTO,2000,,,1.0,
20015500,JIC Nº 02 JARDIN DEL ANGEL GRIS DE 12,2000,1.0,1.0,,
20015700,COLEGIO NUMEN,2000,1.0,1.0,,
20015701,COLEGIO NUMEN,2000,,,1.0,
20015800,JIN B DE 08 MAFALDA-INFANCIAS PARTICIPANDO DE SUS DERECHOS,2000,1.0,1.0,,
20015801,JIN B DE 08 (ESC. PRIM. N° 08 DE 08),2000,1.0,1.0,,
20015900,ESC. DE COM. Nº 20 DR. JUAN AGUSTIN GARCIA DE 14,2000,,,,1.0
20016000,REPUBLICA DEL ECUADOR,2000,,,1.0,
20016100,ROMPEHIELOS GRAL SAN MARTIN,2000,,,1.0,
20016200,ESCUELA INTEGRAL INTERDISCIPLINARIA Nº 17 DE 17,2000,,,,
20016300,ESC. DE EDUC. MEDIA Nº 03 ANTONIO DEVOTO DE 17,2000,,,,1.0
20016500,ANTONIO A. ZINNY,2000,,,1.0,
20016600,CAPITAN JUAN DE SAN MARTIN Y GOMEZ,2000,,,1.0,
20016700,JOSE ERNESTO GALLONI,2000,,,1.0,
20016800,INSTITUTO PLATERILLO,2000,,1.0,1.0,
20016900,CANADA,2000,,,1.0,
20017000,ESCUELA INFANTIL N° 04 AGUSTIN TATIN RAVELLO DE 08,2000,1.0,1.0,,
20017400,ESCUELA RELIGIOSA ISRAELITA ARGENTINA,2000,,1.0,1.0,1.0
20017500,ESCUELA METROPOLITANA DE ALTOS ESTUDIOS,2000,,,,
20017700,JIN D DE 12 (ESC. PRIM. Nº 03 DE 12),2000,,1.0,,
20017701,JIN D DE 12 (ESC. PRIM. Nº 09 DE 12),2000,,1.0,,
20017702,JIN D DE 12 (ESC. PRIM. Nº 24 DE 12),2000,,1.0,,
20017800,INSTITUTO LA CANDELARIA,2000,1.0,1.0,1.0,1.0
20017900,ESCUELA DOMICILIARIA Nº 01 DE 15,2000,,,,
20018100,ALTE MANUEL BLANCO ENCALADA,2000,,,1.0,
20018400,PATRIA GRANDE,2000,,,1.0,
20018500,PRESBISTERO PROF. VICENTE MONTES CARBALLO,2000,,,1.0,
20018600,CAJA NACIONAL DE AHORRO Y SEGURO,2000,,,1.0,
20018700,JIN A DE 13 (ESC. PRIM. N° 14 DE 13),2000,,1.0,,
20018701,JIN A DE 13 (ESC. PRIM. N° 19 DE 13),2000,,1.0,,
20018702,JIN A DE 13 (ESC. PRIM. N° 12 DE 13),2000,,1.0,,
20018800,JII N° 06 DE 09,2000,,1.0,,
20018900,FIDEL LOPEZ,2000,,,1.0,
20019000,COLEGIO SAN FRANCISCO JAVIER,2000,1.0,1.0,1.0,1.0
20019200,ESC. TEC. Nº 06 FERNANDO FADER DE 12,2000,,,,1.0
20019300,SATURNINO SEGUROLA,2000,,,1.0,
20019400,COLEGIO EYELEN,2000,,1.0,1.0,
20019600,EMILIO GIMENEZ ZAPIOLA,2000,,,1.0,
20019700,CENS Nº 46 DE 01,2000,,,,
20019701,CENS Nº 46 DE 01,2000,,,,
20019800,INSTITUTO SCHILLER,2000,1.0,1.0,1.0,1.0
20019900,COLEGIO NUEVO PENSAR,2000,,1.0,1.0,1.0
20020000,CEPPLA,2000,,,,
20020100,COLEGIO DEL ARCE,2000,,,,1.0
20020101,COLEGIO DEL ARCE,2000,1.0,1.0,1.0,
20020200,GRAL. JUAN ANTONIO LAVALLEJA,2000,,,1.0,
20020300,ESCUELA ARGENTINA,2000,,1.0,1.0,1.0
20020600,INSTITUTO SIR THOMAS MALORY,2000,,1.0,1.0,
20020700,FRAY LUIS BELTRAN,2000,,,1.0,
20020800,GAUCHOS DE GUEMES,2000,,,1.0,
20020900,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,2000,1.0,1.0,,
20020901,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,2000,,,1.0,
20020902,INSTITUTO PARROQUIAL NUESTRA SEÑORA DE LA UNIDAD,2000,,,,1.0
20021200,JII N° 05 DE 09,2000,1.0,1.0,,
20021300,MARCOS SASTRE,2000,,,1.0,
20021400,CARLOS JAVIER BENIELLI,2000,,,1.0,
20021500,INSP. GRAL ALFREDO D. ZUNDA,2000,,,1.0,
20021600,ENRIQUE G. PARKER,2000,,,1.0,
20021700,INSTITUTO SAN MATEO,2000,1.0,1.0,1.0,1.0
20021800,NTRA. SRA. DE LA MISERICORDIA,2000,1.0,1.0,1.0,1.0
20021900,JORGE NEWBERY,2000,,,1.0,
20022000,JIN A DE 12 (ESC. PRIM. Nº 05 DE 12),2000,,1.0,,
20022001,JIN A DE 12 (ESC. PRIM. Nº 19 DE 12),2000,,1.0,,
20022002,JIN A DE 12 (ESC. PRIM. Nº 01 DE 12),2000,,1.0,,
20022100,AUSTRALIA,2000,,,1.0,
20022200,INSTITUTO W PRINGLE MORGAN,2000,,,,
20022300,INST. SAN JOSE DE LA PALABRA DE DIOS,2000,1.0,1.0,1.0,1.0
20022400,INSTITUTO INTEGRAL MUNDO NUEVO,2000,1.0,1.0,1.0,
20022500,COLEGIO URIARTE,2000,,1.0,1.0,
20023000,FELIX DE AZARA,2000,,,1.0,
20023100,COLEGIO INGLES HORACIO WATSON,2000,,1.0,1.0,1.0
20023200,INSTITUTO ARGENTINO DE ENSEÑANZA SUPERIOR (IADES),2000,,,,
20023300,ESC. DE PERIODISMO DEPORTIVO JOSE R. LOPEZ PAJARO,2000,,,,
20023400,INSTITUTO INCORPORADO COLECTIVIDAD HELENICA,2000,,1.0,1.0,
20023500,INSTITUTO GRIEGO ATENÁGORAS I,2000,,,,1.0
20023600,DR. ALEJANDRO CARBO,2000,,,1.0,
20023700,REPUBLICA DE TURQUIA,2000,,,1.0,
20023800,EMILIO GIMENEZ ZAPIOLA,2000,,,,
20023900,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.Nº9 DE 9),2000,,1.0,,
20023901,JIN B JARDIN DE LOS PUENTES DE 09 (ESC.PRIM.N°15DE 9),2000,,1.0,,
20024000,ESCUELA DE ENFERMERIA DEL HTAL. ISRAELITA,2000,,,,
20024300,CENS Nº 62 DE 01,2000,,,,
20024800,COLEG. LA ANUNCIATA,2000,1.0,1.0,1.0,1.0
20024900,JIN A DE 01 (ESC. PRIM. Nº 7 DE 01),2000,,1.0,,
20024902,JIN A DE 01 (ESC. PRIM. Nº 8 DE 01),2000,,1.0,,
20025000,NICOLAS AVELLANEDA,2000,,,1.0,
20025100,NICOLAS RODRIGUEZ PEÑA,2000,,,1.0,
20025300,INST. SAN JUDAS TADEO,2000,1.0,1.0,1.0,1.0
20025400,ISAAC BAKCHELLIAN,2000,,1.0,1.0,
20025500,JIC N° 08 DE 19,2000,,1.0,,
20025600,IFTS N° 21 DE 08,2000,,,,
20025700,JOAQUIN VICTOR GONZALEZ,2000,,,,
20025800,CARLOS MOREL,2000,,,,
20025900,SOLDADO DE MALVINAS,2000,,,,
20026000,CENS Nº 25 DE 20,2000,,,,
20026001,CENS Nº 25 DE 13,2000,,,,
20026100,REPUBLICA DEL PERU,2000,,,,
20026200,REPUBLICA ARABE DE EGIPTO,2000,,,,
20026300,RAFAEL RUIZ DE LOS LLANOS,2000,,,,
20026400,INST. VIRGEN DEL VALLE,2000,1.0,1.0,1.0,1.0
20026600,INSTITUTO MI MAÑANA,2000,,,,
20026800,DR.ALFREDO LANARI,2000,,,1.0,
20026900,CENTRO PSICOPEDAGOGICO ACUARELA,2000,,,,
20027000,ANTONIO SCHETTINO,2000,,,,
20027100,CENS Nº 52 DR.RENE GERONIMO FAVALORO DE 08,2000,,,,
20027200,ANDRES FERREYRA,2000,,,,
20027300,ESC.SUPERIOR DE SEGURIDAD E HIGIENE INDUSTRIAL,2000,,,,
20027400,JII Nº 12 DE 21 ,2000,,1.0,,
20027500,JIC N° 03 AMALIA FIGUEREDO DE 21,2000,,1.0,,
