Provincia,Departamento,Cant_EE,Cant_BP,Poblacion
Chaco,BERMEJO,70,3,77956
Jujuy,COCHINOCA,70,3,41210
San Luis,BELGRANO,70,2,15529
Chaco,O HIGGINS,70,1,59039
Buenos Aires,VILLARINO,69,4,90691
Buenos Aires,AYACUCHO,69,1,60679
San Juan,CAUCETE,69,1,121386
San Juan,SARMIENTO,69,1,74407
Tucumán,TRANCAS,69,1,64982
Buenos Aires,CORONEL DE MARINA L ROSALES,68,4,183692
Misiones,CANDELARIA,68,4,95919
Salta,GENERAL GUEMES,67,3,154795
Corrientes,CONCEPCION,67,2,71944
Salta,METAN,67,2,133901
San Juan,POCITO,67,1,199647
Entre Ríos,FELICIANO,67,0,46397
Río Negro,AVELLANEDA,66,6,114414
San Luis,CHACABUCO,66,6,74212
Neuquén,ZAPALA,66,2,126607
San Juan,CHIMBAS,66,2,286353
Buenos Aires,MARCOS PAZ,66,1,178658
Buenos Aires,PATAGONES,66,1,104900
Santiago del Estero,ATAMISQUI,66,1,40634
Catamarca,CAPAYAN,65,4,54126
Buenos Aires,LAS FLORES,65,1,76094
San Luis,CORONEL PRINGLES,64,4,44781
Corrientes,SALADAS,64,1,80678
Buenos Aires,GENERAL ALVARADO,63,2,126845
Chaco,12 DE OCTUBRE,63,1,64363
Buenos Aires,LOBERIA,62,2,50815
Mendoza,SANTA ROSA,62,2,53731
Tucumán,FAMAILLA,62,2,117911
Mendoza,MALARGUE,62,1,90017
Buenos Aires,NAVARRO,61,2,55241
Corrientes,SAN ROQUE,61,2,62964
Formosa,LAISHI,61,2,53099
San Juan,25 DE MAYO,61,0,56869
Buenos Aires,PRESIDENTE PERON,60,0,279776
La Rioja,GENERAL JUAN F QUIROGA,60,0,11216
Santa Fe,BELGRANO,59,6,136436
Buenos Aires,BRANDSEN,59,3,89543
Jujuy,PALPALA,58,4,182384
San Juan,VALLE FERTIL,58,2,23511
Buenos Aires,MAGDALENA,58,1,62931
Buenos Aires,MAR CHIQUITA,58,1,92253
Catamarca,ANDALGALA,58,1,54547
Mendoza,TUPUNGATO,58,1,113338
Tucumán,TAFI DEL VALLE,57,2,62405
Entre Ríos,ISLAS DEL IBICUY,57,1,38671
Buenos Aires,BRAGADO,56,4,129671
Buenos Aires,CARLOS CASARES,55,3,64114
Buenos Aires,SALTO,55,2,109572
La Rioja,CHAMICAL,55,1,43829
Buenos Aires,SAN ANTONIO DE ARECO,54,2,74643
Buenos Aires,CORONEL PRINGLES,54,1,67373
Buenos Aires,EXALTACION DE LA CRUZ,54,0,111328
Catamarca,SANTA ROSA,53,3,37114
Buenos Aires,ADOLFO ALSINA,53,2,48898
Buenos Aires,GENERAL JUAN MADARIAGA,53,1,62686
Córdoba,MINAS,53,0,13612
Santiago del Estero,GUASAYAN,53,0,25717
Buenos Aires,ENSENADA,52,5,177498
Neuquén,LACAR,52,4,110423
Chaco,SAN LORENZO,52,1,44322
Tucumán,JUAN B ALBERDI,52,1,96649
La Rioja,GENERAL SAN MARTIN,52,0,13858
Chaco,SARGENTO CABRAL,51,3,51890
La Rioja,GENERAL BELGRANO,51,2,21333
Corrientes,SAN COSME,51,1,55138
Córdoba,POCHO,51,0,14267
Formosa,MATACOS,51,0,46488
La Rioja,GENERAL OCAMPO,51,0,20580
Catamarca,EL ALTO,50,1,12123
Catamarca,VALLE VIEJO,49,4,94645
Buenos Aires,RAUCH,49,2,46193
Salta,CERRILLOS,49,2,153013
Santa Fe,GARAY,49,2,69401
Buenos Aires,ARRECIFES,49,1,89728
Buenos Aires,ROJAS,49,1,71771
Buenos Aires,DAIREAUX,49,0,51170
Chaco,INDEPENDENCIA,49,0,60048
Corrientes,SAN MARTIN,49,0,41818
Buenos Aires,TORNQUIST,48,4,40986
Buenos Aires,CORONEL DORREGO,48,3,44358
San Juan,CALINGASTA,48,2,29409
Buenos Aires,ROQUE PEREZ,48,1,38815
Tucumán,LA COCHA,48,1,58749
Salta,IRUYA,48,0,16633
Buenos Aires,RAMALLO,47,4,110149
Buenos Aires,CARLOS TEJEDOR,47,2,39198
Buenos Aires,GENERAL ALVEAR,47,1,28401
Buenos Aires,RIVADAVIA,47,1,55015
Salta,SAN CARLOS,46,1,21423
Buenos Aires,GENERAL PAZ,46,0,39328
San Juan,SANTA LUCIA,45,4,174056
Buenos Aires,PUAN,45,3,46482
Catamarca,POMAN,45,3,33856
Buenos Aires,MONTE,45,2,68437
Entre Ríos,SAN SALVADOR,45,2,57701
Buenos Aires,CARMEN DE ARECO,45,1,48399
Buenos Aires,SAAVEDRA,44,3,60313
San Luis,GOBERNADOR DUPUY,44,2,39701
Santiago del Estero,SILIPICA,44,0,27049
Chaco,FRAY JUSTO SANTA MARIA DE ORO,43,1,29585
Neuquén,HUILICHES,43,1,58056
Buenos Aires,GUAMINI,42,5,32734
Buenos Aires,GENERAL VIAMONTE,42,2,63013
Buenos Aires,COLON,42,1,76806
Buenos Aires,TAPALQUE,42,1,29901
Jujuy,SANTA CATALINA,42,0,7269
Salta,CHICOANA,42,0,68563
Buenos Aires,DOLORES,41,1,87848
Jujuy,TILCARA,41,1,40511
Jujuy,SANTA BARBARA,40,2,56491
Catamarca,ANCASTI,40,0,9190
Río Negro,SAN ANTONIO,39,4,98837
Corrientes,SAUCE,39,1,28781
Buenos Aires,GENERAL LAS HERAS,38,1,50063
La Rioja,CORONEL FELIPE VARELA,38,1,31863
La Rioja,GENERAL ANGEL V PEÑALOZA,38,1,8864
Misiones,CONCEPCION,38,1,28373
Corrientes,SAN MIGUEL,38,0,34862
